Category,Description
neutral,"In Finland , export industry forms a large clientele for the packaging industry ."
neutral,"In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network ."
neutral,"In Switzerland , Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( FTTH ) operators ."
neutral,"In the end , Sanoma News wants to secure its foundation with the savings ."
positive,"In the Homeware area , Fiskars provides leading branded products for home , kitchen , and interior design ."
positive,It is a solid credit that has been compared to a DZ Bank or a Rabobank .
neutral,"Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe ."
neutral,"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry ."
neutral,"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services ."
neutral,"Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes ."
positive,( I&H ) in a move to enhance growth .
neutral,"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries ."
neutral,Neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in Valkeakoski .
neutral,"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 ."
neutral,"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use ."
neutral,Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life .
positive,One of Uponor 's promising future products is a hydronic cooling system .
positive,"Our strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors ."
positive,"Overall , 50 percent of respondents were confident about their security when banking online ."
neutral,Production at the plant will be based on Neste Oil 's proprietary technology that can use a flexible input of any vegetable oil or animal fat .
neutral,"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes ."
neutral,QPR product family is fully compatible with Microsoft 's Windows 7 operating system .
positive,Ramirent is a leading company in machinery and equipment rentals for construction and industry .
neutral,"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations ."
positive,Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid-July .
neutral,"She will succeed Krister Kylas , who has decided to leave TeliaSonera ."
neutral,"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term ."
neutral,South America and Asia are other promising markets .
neutral,Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .
neutral,"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap ."
neutral,Technopolis 's technological centers supply their clients with modern high-class premises .
neutral,The agreement is valid for four years .
neutral,"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings ."
neutral,The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .
neutral,"The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories ."
neutral,The company is presently examining whether the project would be financially feasible .
neutral,The deliveries started in April 2006 and will be completed in 2007 .
neutral,The effect of the savings will be noticeable from the beginning of 2010 .
neutral,"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit ."
neutral,"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share ."
neutral,"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals ."
neutral,The Kyroskoski investment is to be completed in late 2011 and the +_+Ænekoski investment in the spring of 2012 .
neutral,"The official opening of the office , located in Prague , will be celebrated on May 20 ."
neutral,"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 ."
neutral,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .
neutral,"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants ."
neutral,The shipyard hopes the regional government in Andalusia can offer its some form of financial support .
neutral,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .
neutral,The transaction is expected to be completed next spring .
neutral,"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley ."
neutral,Ulefos Group is the leading supplier of manhole covers in the Nordic countries .
neutral,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 ."
positive,"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board ."
neutral,Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .
neutral,What would you like to see changed on Nokia 's next attempt ?
neutral,"When completed , the 120-meter Watchtower will be the highest building in Ireland ."
neutral,"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice ."
neutral,"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes ."
neutral,You are warmly welcome !
neutral,Approval by shareholders of Cencorp in accordance with Finnish law .
positive,`` I warmly welcome Michael Frei to Outotec .
neutral,`` Nokia is just interested in bring Nokia to the market . ''
neutral,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .
neutral,`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .
positive,"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group ."
neutral,A PLUMBING business has announced it is sponsoring a professional darts player .
neutral,"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said ."
neutral,Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .
neutral,"And when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art ."
neutral,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .
neutral,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share ."
neutral,"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila ."
neutral,"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location ."
neutral,"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets ."
neutral,Customers in a wide range of industries use our stainless steel and services worldwide .
neutral,"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th ."
neutral,Europe needs 17 new large paper machines .
neutral,"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab ."
positive,"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however ."
neutral,"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 ."
neutral,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share ."
positive,"Kaido Kaare , general director for Atria Eesti , says the company 's investments in the upgrade of the pig farms surpass EEK 150mn EUR 9.59 mn USD 14.19 mn in the past years ."
neutral,"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday ."
neutral,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .
neutral,NetCom expects to complete Turbo 3G deployment in these areas this year .
positive,"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL ."
neutral,Nokian Tyres ' tyres are considered genuine winter tyres in Russia .
negative,"On the other hand , Finnish sawmills ' production has decreased even more ."
neutral,"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote ."
neutral,"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners ."
neutral,Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .
neutral,Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .
neutral,Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .
neutral,"Pulkovo park will be ready in 2016 , its first stage of 23,000 sq. m. will be finished in the first quarter of 2010 ."
neutral,RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .
neutral,Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .
neutral,s already good position in the technical building services market in Ostrobothnia .
neutral,"SCOPI Chief Business Excellence Officer , Eng ."
neutral,"Stora Enso Oyj said Friday it will sell its North American unit to NewPage , in a deal valued at euro1 .82 billion US$ 2.52 million ."
neutral,"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland ."
positive,The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .
positive,The annual Thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnics .
neutral,"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors ."
neutral,"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding ."
neutral,The company had hoped the new plant would be on stream by the end of 2008 .
neutral,The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .
neutral,"The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year ."
neutral,"The company said that currently the French distribution unit Ragot is located in Loudeac , Normandy , the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars ."
neutral,"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings ."
neutral,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world ."
neutral,The corrected chapter is in its entirety below .
neutral,"The deal , already approved by shareholders , will be carried out in the first half of 2011 ."
neutral,"The outsourced Scan and Capture solutions transfer paper invoices into electronic format , and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format ."
positive,The pipeline is strong .
neutral,The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .
neutral,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum ."
neutral,The solid fuel is heated before sludge is mixed therein . ''
neutral,"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis ."
neutral,"The ten year rent contract with the right of prolongation on the existing terms , was signed between Stockmann and the owner of the shopping center in 1998 ."
positive,"The terms of the financing were approved by the Annual General Meeting of the Company held on June 30 , 2010 ."
neutral,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m ."
neutral,"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : ."
neutral,This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .
neutral,Three students from Universiti Sains Malaysia have won a study trip to Helsinki .
neutral,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added ."
neutral,"To achieve synergy targets related to the acquisition , Vaisala is consolidating its manufacturing , depot and data services , and finance activities currently located in Uniontown , Pennsylvania , St. Louis , Missouri and Durham , North Carolina ."
positive,UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .
neutral,"Wayne Greensmith , Fiskars Brands UK senior brand manager , said : `` We have launched this as we want to give something back to the community ."
neutral,"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th ."
neutral,"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 ."
positive,"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat ."
neutral,"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat ."
positive,Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .
neutral,"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection ."
neutral,"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration ."
negative,"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 ."
positive,"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago ."
negative,"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said ."
positive,EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .
neutral,I thank Jarmo Ukonaho warmly for his contribution and wish him all the best in the future challenges . ''
positive,"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter ."
positive,"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer ."
positive,The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .
positive,"The developers of that project predict that once it is completed in April 2009 , Skanssi will attract some 4.5 million visitors annually ."
positive,Those will be partially offset by a 186 mln eur gain on the sale of its Celbi pulp plant in Portugal .
positive,ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .
positive,"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement ."
positive,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt ."
positive,"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday ."
positive,`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . ''
positive,"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks ."
positive,A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .
positive,"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier ."
positive,President and CEO Mika Vehvil+Æinen says the positive signs are first and foremost emerging outside Finland .
positive,Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .
positive,"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 ."
positive,"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 ."
neutral,"We now have both the opportunity and the responsibility to create a new journalistic culture to serve the readers of Alma Media 's newspapers , `` says Hannu Ollikainen , head of the new Helsinki desk ."
positive,"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing ."
positive,"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level ."
positive,"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive ."
positive,"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened ."
positive,Metso said it has won an order worth around 40 mln eur to supply a kraftliner board machine to China 's Lee & Man Paper Co. .
positive,"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year ."
positive,"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania ."
neutral,"Aug. 31 , 2009 (Gawker Media delivered by Newstex)-- If you love fishing video games but felt that there just was n't enough wackiness involved , then Activision 's (NASDAQ : ATVI) Rapala : We Fish might just catch your eye with its family-fun hook ."
positive,"Efore 's presence here also opens up new and interesting development opportunities for our students , '' the dean of the Faculty of Electronics , Communications and Automation at TKK said ."
neutral,"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says ."
neutral,Nordea Bank has a large share and vast experience in the Nordic credit card market .
neutral,"Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising ."
neutral,The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds .
positive,- I am pleased that Bjorn Wahlroos has accepted the nomination .
neutral,"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview ."
positive,"`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes ."
neutral,Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .
neutral,"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging ."
neutral,"According to Mark White , Locatrix Communications ' CEO , the company 's web services interface allows device owners , friends , and family to track and locate TWIG users via any web browser ."
neutral,"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years ."
neutral,"Community gardening has become a popular activity , especially to raise vegetables ."
positive,"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat ."
positive,Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .
positive,"Higher bit rates for outgoing traffic improves the end-user experience of mobile broadband services such as video conferencing , file sharing and sending e-mails with attachments ."
positive,"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen ."
positive,"It combines a perfect price performance with sophisticated management facilities , the company said ."
positive,"Kemira Coatings is the leading supplier of paints in Northern and Eastern Europe , providing consumers and professionals with branded products in approx ."
neutral,"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM ."
neutral,The company 's main shareholders Lihakunta and Itikka Osuuskunta have both made a commitment to acquire shares worth EUR 20mn .
neutral,"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said ."
positive,TomTom has given assurances that it will continue to sell maps to competitors if it wins EU approval .
neutral,We do hope that this will in the future turn out to be a novel method for the prevention of alcohol and tobacco smoking associated oral cancers .
positive,"`` Nokia 's Calling All Innovators Africa competition has been specifically launched to enable developers to create locally relevant , best-of-breed mobile applications . ''"
positive,"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said ."
neutral,"`` Subscribers can browse free numbers with their handset , and select the numbers , packages and services they prefer when activating the phone ."
neutral,"ASPO Plc STOCK EXCHANGE BULLETIN October 24 , 2006 at 2:00 p.m. Aspo Systems Division has completed the statutory negotiations , as required under the Act on Co-Operation Within Undertakings , conducted as part of the action plan launched in August ."
neutral,Both companies will keep their commercial independence and continue to market their traditional products individually .
neutral,City CU Welcomes DART Members DALLAS-City CU welcomes the members of DART FCU as they merge with City CU .
neutral,"Founded in 1994 , the company uses a six-step , time-focused , collaborative project approach to improve financial institutions ' revenue streams ."
neutral,Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .
neutral,"It is profitable to make pulp , paper , and sawn goods in areas where the combination of these factors is good ."
neutral,"Nurminen Logistics provides high-quality logistics services , such as railway transports , terminal services , forwarding , special and heavy transports and medical transports ."
neutral,Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .
positive,The energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .
neutral,"The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers ."
neutral,The smaller molecules improve the grip of the tyre at top-speed driving .
positive,The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .
neutral,Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .
positive,"Nokia , which has a strong track record in the lower-end handset market , said in July its touch-screen offering would come this year and be cheaper than rival models in order to tap into a higher-volume market ."
positive,"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable ."
positive,Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .
positive,"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon ."
neutral,"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels ."
neutral,"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division ."
neutral,`` I see my new post as an inspiring challenge .
neutral,"`` We will continue to make it easier for users to explore services on their handsets and will work towards bringing Internet to a wider range of devices including mid and low-end devices , '' said Kallasvuo ."
neutral,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .
negative,"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools ."
neutral,"It started with software that was capable of retrieving the data typed into the computer keyboard ( `` keyloggers '' ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming ."
neutral,"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial ."
positive,The StoneGate UTM solution offers protection against inbound and outbound attacks .
negative,F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .
positive,The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .
neutral,"The new company will buy from Baltic Pearl CJSC a lease right to 8.1 hectares for the construction of a mall with a gross area of 140,000 sq m 1.5 million sq ft ."
negative,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .
negative,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) ."
positive,"According to Finnish insurance companies Tapiola , Local Insurance Group ( L+Æhivakuutus ) , and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance ."
positive,"`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development ."
neutral,Both companies ' existing investment plans will be coordinated .
positive,Both the net sales and operating profit were record high in the company 's history .
positive,"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said ."
positive,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete ."
positive,"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said ."
positive,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier ."
positive,"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel ."
neutral,"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales ."
neutral,International operations accounted for over 80 % of net sales .
positive,"Lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters ."
positive,Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .
positive,Net sales revenue per passenger is expected to increase .
neutral,Poyry 's net sales in 2007 amounted to about EUR 720 million and it employs 7400 experts .
neutral,"The Board of Directors proposes to the Shareholders ' Meeting on 18 March 2010 that the company would pay dividend for the financial year January 1 - December 31 , 2009 , EUR 0.02 per share ."
positive,The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 .
neutral,"The decision of Tekes was based on , among other , the following grounds : the project has a significant impact on the business development of the company ."
neutral,"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries ."
positive,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 ."
positive,"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China ."
positive,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million ."
neutral,The value of orders on hand totaled EUR 237.1 mn .
positive,"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials ."
positive,3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .
positive,"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland ."
positive,Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp & Paper Machinery ( that is part of Vaahto Group ) .
neutral,Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .
neutral,"According to Scanfil 's President Harri Takanen , Scanfil 's investment activity proceeded according to the strategy on several fronts in 2010 ."
positive,Acquisitions have been made and businesses have been well integrated .
neutral,Alma Media 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .
positive,Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .
neutral,CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .
positive,Cramo Group 's financial targets for 2010-2013 are sales growth higher than 10 percent per year ; return on equity above 15 percent .
neutral,Delhaize Le Lion has selected the Aldata G.O.L.D. Vocal PDA solution on the Motorola WT4090 PDA terminal .
neutral,Elcoteq 's revenues in 2007 were approximately EUR 120 million .
positive,European traffic grew nearly 30 % .
neutral,Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 .
neutral,"For the fiscal year ending September 30 , 2009 the revenue from these customers was $ 10.012 million or around 11.0 % of the transportation group 's revenue ."
