Category,description
positive,employee are also better prepared to answer call since they already have detailed information about the caller before they answer the phone .
neutral,entire paper mill may be set up especially in the new eu member state .
neutral,fcc chairman kevin martin said that fair play required extending the same deregulatory rule to the digital subscriber line that telecom provider use for broadband network .
neutral,fortum had previously bought the state-held stake in tgk-10 from rao ues during it reform .
neutral,genvec is a biopharmaceutical company developing novel therapeutic drug and vaccine .
positive,grapevine city official in september approved $ 35 million in tax rebate and grant for the expansion .
neutral,harju elekter wa founded in 1968 and is the leading producer of electrical equipment and material in the baltic state .
positive,iggesunds bruk in sweden is one of the most advanced fully integrated pulp and paperboard mill in the world .
neutral,"in addition yit ha reserved epi russia the right to expand the logistics center by about 100,000 m2 ."
neutral,in addition to the presentation held by president & ceo kai telanne and cfo tuomas itkonen participant will have an opportunity to discus with other member of the company management .
neutral,in finland export industry form a large clientele for the packaging industry .
neutral,in providing managed service nokia take responsibility for building operating and transferring a well a optimising the indosat 3g network .
neutral,in switzerland teleste have been an established supplier of product for a long time and it primary customer include cable and fiber-to-the-home ( ftth ) operator .
neutral,in the end sanoma news want to secure it foundation with the saving .
positive,in the homeware area fiskars provides leading branded product for home kitchen and interior design .
positive,it is a solid credit that ha been compared to a dz bank or a rabobank .
neutral,linde act responsibly towards it shareholder business partner employee society and the environment - in every one of it business area region and location across the globe .
neutral,lkab headquartered in lulea sweden is a high-tech mining company producing upgraded iron ore product for the steel industry .
neutral,llc a voice and data management solution provider to wireless company with operation worldwide will be transferring it u.s. deployment operation to the finnish mobile giant which includes civil work and site acquisition service .
neutral,look out for vintage fabric cushion cover '70s coffee pot ceramic serving dish cocktail glass and stainless steel party dish .
positive,( i & h ) in a move to enhance growth .
neutral,metso is a global supplier of sustainable technology and service for mining construction power generation automation recycling and the pulp and paper industry .
neutral,neomarkka ha played a leading role in a group that aim to restart the production of specialty cellulose fiber in valkeakoski .
neutral,"of these share 14,747,084 are held by the company and the number of outstanding share and voting right attached to the share amount thus to 161,256,847 ."
neutral,oka specialises in new construction renovation work of residential and non-residential building a well a premise for industrial and logistical use .
neutral,okmetic silicon wafer are part of a further processing chain that produce end product that improve human interaction and quality of life .
positive,one of uponor promising future product is a hydronic cooling system .
positive,our strong company brand - esl shipping leipurin telko and kaukomarkkinat - aim to be the market leader in their sector .
positive,overall 50 percent of respondent were confident about their security when banking online .
neutral,production at the plant will be based on neste oil proprietary technology that can use a flexible input of any vegetable oil or animal fat .
neutral,"prothious engineering ( www.prothious.com ) employ more than 1,000 and ha a large portfolio of project and an annual detailing capacity of more than 100,000 tonne ."
neutral,qpr product family is fully compatible with microsoft window 7 operating system .
positive,ramirent is a leading company in machinery and equipment rental for construction and industry .
neutral,s & p ha kept it sell rating while nordea and ubs have reaffirmed their buy recommendation .
positive,shareholder of rakvere lihakombinaat decided in favor of the buyout of minority share in mid-july .
neutral,she will succeed krister kylas who ha decided to leave teliasonera .
neutral,simmons elected dcuc chairman portsmouth n.h.-gordon a. simmons ceo of service credit union ha been elected chairman of the defense credit union council for the 2007-2008 term .
neutral,south america and asia are other promising market .
neutral,stock exchange release 10/3/2011 12:00 sanoma ha published it annual report and financial statement for 2010 and it first corporate responsibility report .
neutral,swedish finnish and danish listed company are organized in three market cap segment nordic large cap mid cap and small cap .
neutral,technopolis technological center supply their client with modern high-class premise .
neutral,the agreement is valid for four year .
neutral,the broker started upm-kymmene stora enso and sappi with equal-weight recommendation and holmen and norske skog with underweight rating .
neutral,the commission said the hydrogen peroxide and pb market wa worth about 470 million euro in 2000 .
neutral,the company design manufacture and market high-quality clothing interior decoration textile bag and other accessory .
neutral,the company is presently examining whether the project would be financially feasible .
neutral,the delivery started in april 2006 and will be completed in 2007 .
neutral,the effect of the saving will be noticeable from the beginning of 2010 .
neutral,the group intends to relocate warehouse and office space in loudeac and saint marcel to morvillars in the east of the country where it already operates a hook manufacturing and distribution unit .
neutral,the handset also feature a medium bar for quick access to favorite medium and application including music photo youtube or ovi share .
neutral,the hayward calif.-based target design active casual and dress footwear a well a boot and sandal .
neutral,the kyroskoski investment is to be completed in late 2011 and the +_+ænekoski investment in the spring of 2012 .
neutral,the official opening of the office located in prague will be celebrated on may 20 .
neutral,the port operator however favor retaining the port fee in 2010 citing the owner the governemtn of estonia commiting the port to pay eek 400mn ( eur 25.56 mn usd 36.44 mn ) in dividend to the state in 2009 and another eek 300mn in 2010 .
neutral,the product front-edge folding maximizes weather resilience and enables a seamless roof finish .
neutral,the scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment which can be used in continuous operation at the plant .
neutral,the shipyard hope the regional government in andalusia can offer it some form of financial support .
neutral,the subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit board or pcbs at nokia special economic zone at sriperumbudur near chennai .
neutral,the transaction is expected to be completed next spring .
neutral,to check them out or to make a bid they will be in the deka showroom fortitude valley .
neutral,ulefos group is the leading supplier of manhole cover in the nordic country .
neutral,vaisala oyj stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) the annual general meeting of vaisala oyj decided on march 25 2010 to approve the company annual account for 2009 .
positive,we warmly welcome him to satama state jussi lansio chairman of the board .
neutral,veracel is preparing an appeal in the issue and ha asked the court for clarification of the judgement .
neutral,what would you like to see changed on nokia next attempt ?
neutral,when completed the 120-meter watchtower will be the highest building in ireland .
neutral,with the basware connectivity service company gain visibility to an audit trail that can be traced from order to good delivery and invoice .
neutral,www.countryelements.co.uk designed by patricia burt this is just one of a selection of distinctive hooked rug created with recycled material and dyed natural dye .
neutral,you are warmly welcome !
neutral,approval by shareholder of cencorp in accordance with finnish law .
positive,i warmly welcome michael frei to outotec .
neutral,nokia is just interested in bring nokia to the market .
neutral,our vaalipalvelu-service wa especially developed for use by community and organization .
neutral,social networking and location-based service trend comprise a significant share of the internet traffic today and are appealing to mid user .
positive,the acquisition of sampo bank make strategic sense for db say lindsey liddell director of fitch rating financial institution group .
neutral,a plumbing business ha announced it is sponsoring a professional dart player .
neutral,a. le coq special wa developed for the bicentenary of the company and the trade mark the brewer said .
neutral,estimation indicate that even up to 170 different tablet computer or reading device will be available in 2011 .
neutral,and when it ha lifted the veil on the various type of customer for which it design it phone the result is social stereotyping taken to a fine art .
neutral,another noticeable thing is that the search for tata and airtel brand wa mostly related to broadband connection .
neutral,at the beginning of the subscription period on may 2 2006 the share subscription price under b option right is eur 10.22 per share .
neutral,back then tikkurila former owner finnish chemical company kemira oyj hel : kra1v distributed an 86 stake to kemira shareholder to facilitate the divestment and listing of tikkurila .
neutral,based on negotiation with personnel some 20 have indicated their willingness to move to the new location .
neutral,cathay forest strategy is to develop sustainable regenerative forest asset .
neutral,customer in a wide range of industry use our stainless steel and service worldwide .
neutral,demonstration of the broad capability of the mobility business suite will be organized during the 3gsm world congress in barcelona from february 12th to 15th .
neutral,europe need 17 new large paper machine .
neutral,finnish diversified holding company aspo oyj said on september 8 2008 that it will sell the finnish tape business of it kaukomarkkinat unit to local oy telpak ab .
positive,handelsbanken ranked before local cooperative bank and aktia in customer loyalty this time too however .
neutral,"in 2008 kemira recorded revenue of approximately eur 2.8 billion and had a staff of 9,400 ."
neutral,in accordance with the term and condition of alma medium 2006 option program the share subscription price for the 2006a option right wa eur 4.88 per share and the book countervalue eur 0.60 per share .
positive,kaido kaare general director for atrium eesti say the company investment in the upgrade of the pig farm surpass eek 150mn eur 9.59 mn usd 14.19 mn in the past year .
neutral,london icis tikkurila ha completed the sale of it powder coating business to finnish industrial coating firm teknos group the finland-based decorative paint company said on wednesday .
neutral,m laakso will be responsible for hkscan hr function and for their development in all of the group smarket area .
neutral,netcom expects to complete turbo 3g deployment in these area this year .
positive,nokia will continue to invest in future development of qt for the benefit of all user both commercial and lgpl .
neutral,nokian tyre tyre are considered genuine winter tyre in russia .
negative,on the other hand finnish sawmill production ha decreased even more .
neutral,one of the opportunity would be to bring all baltic meat processing to rakvere like processing wa concentrated at the vantaa meat-packing unit in finland the paper wrote .
neutral,outotec scope of delivery cover the engineering supply of special equipment and service for a calcination plant with two circulating fluid bed calciners .
neutral,pharmaceutical - netherlands this brand-new market analysis give a clear overview of the actual situation and future outlook of the pharmaceutical market in netherlands .
neutral,pharmaceutical - poland this brand-new market analysis give a clear overview of the actual situation and future outlook of the pharmaceutical market in poland .
neutral,pharmaceutical - spain this brand-new market analysis give a clear overview of the actual situation and future outlook of the pharmaceutical market in spain .
neutral,"pulkovo park will be ready in 2016 it first stage of 23,000 sq . m. will be finished in the first quarter of 2010 ."
neutral,rushydro ha an agreement to transfer it stake in oesk and the five ercs into the trust management of inter rao .
neutral,russia want to utilise it huge forest reserve in a very different way from what ha been done so far .
neutral,s already good position in the technical building service market in ostrobothnia .
neutral,scopi chief business excellence officer eng .
neutral,stora enso oyj said friday it will sell it north american unit to newpage in a deal valued at euro1 .82 billion u $ 2.52 million .
neutral,tekla defense business employ over 20 person and is located in espoo finland .
positive,the aim is to convert the plant into flexible manufacturer of new and technologically demanding product .
positive,the annual thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnic .
neutral,the company also appointed leif rosen head of the special plate unit which includes the quarto plate unit in degerfors sweden and new castle usa the unit in willich germany a well a pressplate and prefab in avesta and plate service centre nordic in degerfors .
neutral,the company had earlier said that it wa considering different strategic option for the struggling low-cost mobile operator including a divestment of it holding .
neutral,the company had hoped the new plant would be on stream by the end of 2008 .
neutral,the company pledged that the new software would render e-mail and other document much a they appear on desktop computer .
neutral,"the company said production volume so far indicate the circuit is capable of the targeted output rate of 60,000 tonne per day or 22 million tonne a year ."
neutral,the company said that currently the french distribution unit ragot is located in loudeac normandy the distribution unit waterqueen and line supplier tortue in saint marcel in mid-france and the hook manufacturing unit vmc and hook distribution unit vmc europe in morvillars .
neutral,"the contract consists of a new building with an area of 18,000 sq m and renovation of the existing building ."
neutral,the contractor of the shopping center china state construction engineering corporation ha previously built e.g . airport hotel and factory for large international customer in different part of the world .
neutral,the corrected chapter is in it entirety below .
neutral,the deal already approved by shareholder will be carried out in the first half of 2011 .
neutral,the outsourced scan and capture solution transfer paper invoice into electronic format and basware business transaction service allows the customer to receive and send invoice in an electronic format .
positive,the pipeline is strong .
neutral,the potential acquirer is cencorp corporation which is a related entity to sav owing to each of sav and cencorp being a subsidiary of the finnish savcor group oy .
neutral,the prerequisite for inclusion in the program and for receipt of any gain is that key employee acquire aspo share to the amount determined by the board in advance in the maximum .
neutral,the solid fuel is heated before sludge is mixed therein .
neutral,the study evaluated the safety tolerability and pharmacokinetics of repeated dos of intravenously administered antibody in 26 patient with active plaque psoriasis .
neutral,the ten year rent contract with the right of prolongation on the existing term wa signed between stockmann and the owner of the shopping center in 1998 .
positive,the term of the financing were approved by the annual general meeting of the company held on june 30 2010 .
neutral,"the total scope of the project is about 38,000 square metre and it is valued at a total of around eur75m ."
neutral,this implementation is very important to the operator since it is about to launch it fixed-to-mobile convergence service in brazil see brazil : 8 may 2006 : .
neutral,this pc application allows user to copy file and other data from their nokia mobile device to their computer a well a create backup content .
neutral,three student from universiti sains malaysia have won a study trip to helsinki .
neutral,thus the group balance sheet will have about eur 25.8 million of goodwill the company added .
neutral,to achieve synergy target related to the acquisition vaisala is consolidating it manufacturing depot and data service and finance activity currently located in uniontown pennsylvania st. louis missouri and durham north carolina .
positive,upm-kymmene ha generated thirty-one consecutive quarter of positive ebitda .
neutral,wayne greensmith fiskars brand uk senior brand manager said : we have launched this a we want to give something back to the community .
neutral,we went to the market with yield guidance of the 7.25 area which gave u the flexibility to go up or down by 1-8th .
neutral,vehvilainen who is currently the chief operating officer at nokia siemens network will join finnair on 5 january 2010 and take over a ceo effective 1 february 2010 .
positive,when open next year it will be the largest facility in the world to produce diesel fuel from renewable feedstock such a palm oil and animal fat .
neutral,via the plant the belgian company will feed 8.4 mw of electricity into the distribution grid and will be able to deliver up to 14 mw of heat .
positive,viking line head jan kaarstroem told tt that his company ferry were well equipped to handle ice and that all the passenger were safe .
neutral,yara suomi ltd also provides nitrogen chemical and technical nitrate to various sector of industry a well a product used in environmental protection .
neutral,a flurry analytics spokesperson said that a it wa only measuring window phone 7 data for some week the firm double-checked the data to make sure the 66 per cent rise wa not an aberration .
negative,net sale of finnish sanoma learning & literature of finnish medium group sanoma decreased by 3.6 in january-june 2009 totalling eur 162.8 mn down from eur 168.8 mn in the corresponding period in 2008 .
positive,the company booked april-june new order worth 949 mln eur compared with 786 mln eur in the same period a year ago .
negative,teliasonera underlying result however included 457 mln skr in positive one-off hence the adjusted underlying ebitda actually amount to 7.309 bln skr clearly below expectation analyst said .
positive,eurochem head of corporate finance alexander gavrilov said : i am pleased that we have once again confirmed that eurochem is able to attract long-term fund at attractive rate .
neutral,i thank jarmo ukonaho warmly for his contribution and wish him all the best in the future challenge .
positive,helsinki ( thomson financial ) - kemira growhow swung into profit in it first quarter earnings on improved sale especially in it fertilizer business in europe which is normally stronger during the first quarter .
positive,for the full 2010 the company expects it net sale and operating result to improve from the previous year saying that a positive operating result and it amount will depend on the order intake by the end of the summer .
positive,the company will make it marketing and sale investment initiated in 2009 even more efficient in 2010 .
positive,the developer of that project predict that once it is completed in april 2009 skanssi will attract some 4.5 million visitor annually .
positive,those will be partially offset by a 186 mln eur gain on the sale of it celbi pulp plant in portugal .
positive,abb deutsche bank upgraded it recommendation on swiss-swedish engineering group abb ltd. to buy from hold .
positive,i am very pleased and proud of our performance last year chief executive juha rantanen said in a statement .
positive,i 'm pleased to receive the nomination committee request and confidence say jon risfelt .
positive,overall we 're pleased with the startup curve ... and we 're pleased with the quality of the paper stora spokeswoman patricia dietz said tuesday .
positive,we are pleased with the effort of both negotiating team and look forward to a productive four year ahead .
positive,we are very pleased to be working with fujitsu and ntt docomo to advance the progress of lte said juergen walter head of converged core nokia siemens network .
positive,a memorandum of understanding on cooperation between the finnish global chemical company kemira and vietnam national chemical group ( vinachem ) wa signed on this occasion .
positive,outotec said it won new order worth 492.9 mln eur during the quarter compared with 240.4 mln eur a year earlier .
positive,president and ceo mika vehvil+æinen say the positive sign are first and foremost emerging outside finland .
positive,raute said it ha won an order worth around 15 mln eur to supply several plywood production line to mill operated by russian wood product company sveza group .
positive,sysopen digia plc press release 7 february 2006 ibm finland ha rewarded it most distinguished partner company for 2005 .
positive,the brokerage said 2006 ha seen a true turning point in european steel base price with better pricing seen carrying through the second quarter of 2006 .
neutral,we now have both the opportunity and the responsibility to create a new journalistic culture to serve the reader of alma medium newspaper say hannu ollikainen head of the new helsinki desk .
positive,this vessel order will help aspo secure the long-term competitiveness of it fleet both in term of technology and pricing .
positive,hk ruokatalo now account for about 50 of poultry sale in finland and profitability is at a good level .
positive,kesko agro lietuva the agricultural machinery and grain trader and another member of the kesko group boosted it sale by 42.9 percent to 13.4 million euro vat inclusive .
positive,london leading share today jumped almost 100 point or 1.7 a the market opened .
positive,metso said it ha won an order worth around 40 mln eur to supply a kraftliner board machine to china lee & man paper co. .
positive,mika stahlberg vp f-secure lab said we are excited and proud that f-secure ha been recognized by av-comparatives a the product of the year .
positive,the ministry of water in tanzania ha awarded poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in bukoba and musoma situated at lake victoria in northern tanzania .
neutral,aug. 31 2009 ( gawker medium delivered by newstex ) if you love fishing video game but felt that there just wa n't enough wackiness involved then activision ( nasdaq : atvi ) rapala : we fish might just catch your eye with it family-fun hook .
positive,efore presence here also open up new and interesting development opportunity for our student the dean of the faculty of electronics communication and automation at tkk said .
neutral,fortum need a clear signal of commitment from the government that the permit is available before the company will start the next round kuula say .
neutral,nordea bank ha a large share and vast experience in the nordic credit card market .
neutral,strong brand visibility nationally and regionally is of primary importance in home sale vehicle and consumer advertising .
neutral,the repurchase of the bond wa executed in the open market in accordance with section 7 f of the term and condition of the convertible bond .
positive,- i am pleased that bjorn wahlroos ha accepted the nomination .
neutral,korean consumer are tech-savvy and leading the pack in term of design gill hyun-chang president of motorola korea inc. told dow jones newswires in an interview .
positive,qpr 8 integrated management system is the fastest easiest and most efficient way for organization all around the world to take control of their human-centric business process .
neutral,finnish raute precision that supply weighing and dosing system and plant is changing it name to lahti precision .
neutral,finnish suominen corporation that make wipe nonwovens and flexible packaging ha a plant near warsaw in poland that make flexible packaging .
neutral,according to mark white locatrix communication ceo the company web service interface allows device owner friend and family to track and locate twig user via any web browser .
neutral,chic and cheerful finnish design house marimekko ha been sending it geometric textile out into the world for the past 60 year .
neutral,community gardening ha become a popular activity especially to raise vegetable .
positive,finland neste oil ha been awarded the chemical industry federation of finland innovation award for it nexbtl technology which enables biodiesel to be produced from vegetable oil and animal fat .
positive,finnish electronics manufacturer pkc group oyj ( omx helsinki : pkc1v ) said on wednesday ( 31 december ) that it ha completed the acquisition of man nutzfahrzeuge ag cable harness business from man star truck & bus spolka zoo in poland .
positive,higher bit rate for outgoing traffic improves the end-user experience of mobile broadband service such a video conferencing file sharing and sending e-mail with attachment .
positive,i am looking forward to contribute to srv success with my competence say taneli hassinen .
positive,it combine a perfect price performance with sophisticated management facility the company said .
positive,kemira coating is the leading supplier of paint in northern and eastern europe providing consumer and professional with branded product in approx .
neutral,supported nokia phone include : n96 n95-8gb n95 n93-n931 n92 n85 n82 n81 n80 n79 n78 n77 n76 n75 n73 n72 n71 e90 e71 e70 e66 e65 e62 e61-e61i e60 e51 e50 touch xpress 5800 6220 classic 6210 navigator 6120 classic 6110 navigator 5700 5500 5320xm .
neutral,the company main shareholder lihakunta and itikka osuuskunta have both made a commitment to acquire share worth eur 20mn .
neutral,"the machine will have an annual production capacity of 200,000 tonne of super-calendered magazine paper and other paper grade based on recovered fiber stora enso said ."
positive,tomtom ha given assurance that it will continue to sell map to competitor if it win eu approval .
neutral,we do hope that this will in the future turn out to be a novel method for the prevention of alcohol and tobacco smoking associated oral cancer .
positive,nokia calling all innovator africa competition ha been specifically launched to enable developer to create locally relevant best-of-breed mobile application .
positive,p & o ferry now ha a very efficient and powerful vessel for it dover to calais route head of the shipbuilder rauma yard timo suistio said .
neutral,subscriber can browse free number with their handset and select the number package and service they prefer when activating the phone .
neutral,aspo plc stock exchange bulletin october 24 2006 at 2:00 p.m. aspo system division ha completed the statutory negotiation a required under the act on co-operation within undertaking conducted a part of the action plan launched in august .
neutral,both company will keep their commercial independence and continue to market their traditional product individually .
neutral,city cu welcome dart member dallas-city cu welcome the member of dart fcu a they merge with city cu .
neutral,founded in 1994 the company us a six-step time-focused collaborative project approach to improve financial institution revenue stream .
neutral,homeowner across north america have green experience to share from cost saving to clean and eco-friendly heating .
neutral,it is profitable to make pulp paper and sawn good in area where the combination of these factor is good .
neutral,nurminen logistics provides high-quality logistics service such a railway transport terminal service forwarding special and heavy transport and medical transport .
neutral,sanoma corporation want a new and better frequency for the helsinki metropolitan area .
positive,the energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .
neutral,"the most popular paper by far wa kesko loyal customer magazine pirkka with 2,462,000 reader ."
neutral,the smaller molecule improve the grip of the tyre at top-speed driving .
positive,the social plan negotiation were part of the three year turn-around program which is expected to ensure salomon future competitiveness .
neutral,today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from fiskars .
positive,nokia which ha a strong track record in the lower-end handset market said in july it touch-screen offering would come this year and be cheaper than rival model in order to tap into a higher-volume market .
positive,suominen corporation estimate that the cost-cutting program that started in autumn 2005 higher sale price and expected growth in volume of wet wipe will make the company operation more profitable .
positive,metsaliitto said that it will book a minor gain of le than eur1 .0 m from the transaction .
positive,this is a significant milestone for benefon helping u to secure critical usp for our personal navigation product roadmap for 2007 and beyond commented simon button chief technology officer at benefon .
neutral,swedish telco teliasonera is teaming up with friend a swedish organization against bullying to fight bullying of child and teenager via electronic channel .
neutral,each year personal entertainment play a more significant role in determining whether a fitness facility workout experience is pleasurable or a chore said brian wilson director of marketing for precor entertainment & service division .
neutral,i see my new post a an inspiring challenge .
neutral,we will continue to make it easier for user to explore service on their handset and will work towards bringing internet to a wider range of device including mid and low-end device said kallasvuo .
neutral,finland dominating rail company vr is planning to set the infected passenger for long-distance trip in a separate carriage .
negative,this is super nasty said eric schultze chief technology officer at shavlik technology llc a st. paul minn.-based maker of patch management tool .
neutral,it started with software that wa capable of retrieving the data typed into the computer keyboard ( keyloggers ) and then more complex mechanism arrived on the scene such a phishing and pharming .
neutral,the finnish company sold it uk operation - consisting of 50 staff in office in london birmingham and manchester - a part of a deal with hampden in july 2001 for it european-wide property and casualty arm sampo industrial .
positive,the stonegate utm solution offer protection against inbound and outbound attack .
negative,f-secure also point out the logical weakness in the sequenced number of a card approach that ha apparently already been utilised .
positive,the completion of the recycling plant is an important link in the chain of creating a waste management system in the dubna region that meet the eu standard .
neutral,"the new company will buy from baltic pearl cjsc a lease right to 8.1 hectare for the construction of a mall with a gross area of 140,000 sq m 1.5 million sq ft ."
negative,danish company flsmidth ha acknowledged that it ha violated a patent held by finnish metso .
negative,the liquidity providing wa interrupted on may 11 2007 when aspocomp group oyj share traded below 0.50 cent ( aspocomp stock exchange release 11.5.2007 ) .
positive,according to finnish insurance company tapiola local insurance group ( l+æhivakuutus ) and pohjola the two fierce storm at the end of july and in the beginning of august 2010 that felled tree around finland have speeded up sale of forest insurance .
positive,in the newly formed company yit stavo the local contact network expertise and market know how of euro stavokonsult will be combined with yit housing concept said juha kostiainen yit vice president corporate communication and business development .
neutral,both company existing investment plan will be coordinated .
positive,both the net sale and operating profit were record high in the company history .
positive,favourable currency rate also contributed to higher net sale ceo kari kauniskangas said .
positive,fiskars a 360-year-old global business best known for it orange-handled scissors expects to derive synergy of eur5 million a year by consolidating certain part of the housewares division where the two compete .
positive,in addition to the indian market the new plant will serve salcomp customer globally the company said .
positive,in q1 '10 19 april 2010 - finnish forest machinery and equipment maker ponsse oyj hel : pon1v said today that it expects to swing to a net profit of some eur6 .3 m in the first quarter of 2010 from an eur9 .6 m loss a year earlier .
positive,in the beginning of this year wartsila had secured an order to deliver four gas-fuelled main engine and propulsion machinery for the same vessel .
neutral,in the second quarter of 2009 net sale through operator business partner represented 47 of the group total net sale .
neutral,international operation accounted for over 80 of net sale .
positive,lithuanian beer maker sold 256.88 million liter of beer in 2005 a rise of 4.5 per cent from the year-earlier figure of 245.92 million liter .
positive,loss after tax amounted to eur 1.2 mn compared to a loss of 2.6 mn .
positive,net sale revenue per passenger is expected to increase .
neutral,poyry net sale in 2007 amounted to about eur 720 million and it employ 7400 expert .
neutral,the board of director proposes to the shareholder meeting on 18 march 2010 that the company would pay dividend for the financial year january 1 - december 31 2009 eur 0.02 per share .
positive,the company moved to an operating profit of eur10 .9 m versus an operating loss of eur15 .3 m. it also turned to eps of eur0 .08 versus loss per share of eur0 .04 .
neutral,the decision of tekes wa based on among other the following ground : the project ha a significant impact on the business development of the company .
neutral,the group with net sale of eur 235 million in 2009 employ more than 2 000 people in 33 country .
positive,the item included restructuring cost of eur1 .6 m while a year earlier they were eur13 .1 m. diluted eps stood at eur0 .3 versus a loss per share of eur 0.1 .
positive,the new office located in shenzhen will strengthen vaisala already 10-year old presence in china .
positive,the subdivision made sale revenue last year of eur 480.7 million eur 414.9 million in 2008 and operating profit of eur 44.5 million eur 7.4 million .
neutral,the value of order on hand totaled eur 237.1 mn .
positive,neste oil is working with over 20 research community in europe america africa asia and australia to develop and introduce new raw material .
positive,3 january 2011 - finnish flag carrier finnair oyj ( hel : fia1s ) said today it sealed a nine-year sale and leaseback agreement for it newest airbus a330 aircraft for syndication into the japanese operating lease market .
positive,according to acnielsen scantrack study for the period week 10 of 2005 to week 9 of 2006 coca-cola is the market leader in soft drink in finland .
positive,finnish ahlstrom corporation ha ordered key production equipment for a new glass nonwovens production line at it russian tver mill from finnish vaahto pulp & paper machinery ( that is part of vaahto group ) .
neutral,finnish navigation device manufacturer benefon that is changing it name to geosentric report net sale of about eur 1.1 mn in the second quarter of 2007 .
neutral,according to scanfil president harri takanen scanfil investment activity proceeded according to the strategy on several front in 2010 .
positive,acquisition have been made and business have been well integrated .
neutral,alma medium net sale in 2009 totalled meur 307.8 with an operating margin of 13.5 per cent .
positive,commencing the construction work of pearl plaza is a significant step in our russian project .
neutral,corporate it update - ( c ) 1995-2009 m2 communication ltd finnish technology group teleste corporation ( omx helsinki : tlt1v ) reported on wednesday ( 4 february ) an operating profit of eur5 .6 m on net sale of eur108 .7 m for the year 2008 .
positive,cramo group financial target for 2010-2013 are sale growth higher than 10 percent per year ; return on equity above 15 percent .
neutral,delhaize le lion ha selected the aldata g.o.l.d . vocal pda solution on the motorola wt4090 pda terminal .
neutral,elcoteq revenue in 2007 were approximately eur 120 million .
positive,european traffic grew nearly 30 .
neutral,finnish logistics and information solution provider done solution corporation ( omx helsinki : dso1v ) reported on wednesday ( 29 october ) an operating profit of eur3 .6 m on net sale of eur35 .1 m for the period january-september 2008 .
neutral,for the fiscal year ending september 30 2009 the revenue from these customer wa $ 10.012 million or around 11.0 of the transportation group revenue .
neutral,galeria podlaska a shopping mall on wysockiego street in bia ystok is approximately 60-percent leased or reserved .
positive,however he expects bank to provide alternative financing .
neutral,in 2007 the group net sale stood at eur 22 million and it had about 150 employee at the end of june 2008 .
positive,in 2008 the deal is likely to bring saving of eur 20mn-25mn .
neutral,in beer olvi retained it market position .
positive,incap contract manufacturing service private limited ha inked agreement with six new customer in india .
positive,it also said it third quarter diluted eps came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .
positive,it also turned to earnings per share ( eps ) of eur 0.08 versus loss per share of eur 0.04 .
positive,it is in line with it plan to focus on selected growth segment and streamline corporate structure .
positive,it projected revenue of $ 2.2 billion to $ 2.3 billion slightly higher than analyst estimate of $ 2.19 billion .
positive,it will also strengthen ruukki offshore business .
positive,juha jordan chief engineer at glaston said one of the reason for choosing vacon a a global ac drive supplier is that it ha service and support centre in the same country where glaston operates .
positive,manavigator-september 7 2010-kemira unveils indian jv with ivrcl finnish chemical group kemira ( hel : kra1v ) on tuesday announced it ha inked a deal to form a joint venture in india with local construction firm ivrcl infrastructure and project ltd ( bom :530773 ) .
positive,metso will supply the equipment for two process line at northland resource new kaunisvaara iron ore project in sweden which exploit tapuli and sahavaara iron ore deposit .
positive,net interest income totaled eur 15.9 mn compared to eur 15.6 mn a year earlier .
neutral,net profit in the period in 2009 wa ( euro ) 29 million .
neutral,net sale are expected to remain on the same level a in 2007 .
neutral,net sale in 2006 totaled eur 302 million and the operating margin wa 16 .
neutral,net sale of the lehdentekijat unit wa approximately eur 14 million in 2007 and it had 70 employee .
neutral,nokia corp of finland tuesday said it ha received a unified device managment contract with finnish operator elisa oyj .
neutral,operating profit totaled eur 18.6 mn or 8.3 of net sale .
positive,operating profit wa eur 9.8 mn compared to a loss of eur 12.7 mn in the corresponding period in 2009 .
positive,pretax profit totalled eur 2.0 mn compared to a loss of eur 159.2 mn in the fourth quarter of 2008 .
positive,pretax profit totalled eur 80.8 mn compared to a loss of eur 13.1 mn in the corresponding period in 2009 .
neutral,previously vaahto pulp ha supplied headboxes with rectifier roll and dilution control technology for stora enso mill in imatra eastern finland .
positive,re-use back into pet bottle ha also steadily increased and the rate of use in strapping tape ha picked up again after a dip in 2005 petcore said previously .
neutral,scanfil expects net sale in 2008 to remain at the 2007 level .
positive,singapore ( icis ) ( 1 ) kemira and indian water infrastructure firm ( 2 ) ivrcl have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in andhra pradesh state india the finnish water treatment chemical maker said on tuesday .
positive,southfield mich. central corporate credit union will again distribute patronage dividend to member by waiving all service fee incurred during the month of july and november 2008 to the tune of an estimated $ 1 million .
positive,tallink claim the watertight door of both vana tallinn and regina baltica including their electrical system are fully in working order .
neutral,tekla group net sale for 2005 were approximately 38 million euro .
neutral,the agreement which will cover monitoring maintenance server capacity service and backup ha a one-year extension option .
